Origin,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Hardness,ph,Survivability
lake,27159.38435,7.884990658,350.4452927,465.4137746,13.86396488,4.186806103,4.916579161,232.0751766,6.762832522,0
ocean,21470.27831,6.79984141,329.178429,430.5077069,15.96604294,4.099203957,3.385508444,199.1812511,9.918717064,0
river,12652.36298,6.655126363,398.6477857,487.459131,9.347633986,4.232943346,5.00246726,300.2924758,10.15544017,0
ocean,28608.05208,6.325442404,377.4045382,506.9383527,13.55375101,3.770032713,2.555026904,206.3696824,8.721726711,0
lake,20416.841,8.457830699,333.8750733074229,291.1048366,19.27005426,9.089523783,3.172789769,237.9199268,6.099646705,0
ocean,27965.07215,6.588374366,373.5532353,588.3196505,16.14573205,4.096416595,2.019042018,253.2170742,9.02678772,0
lake,11609.10905,5.495737655,304.2831932,551.1433372,9.387781276,4.042314252,3.651865808,203.1465468,6.953371603,0
ocean,26687.87448,7.587196418,329.2318529,548.0727613,15.83633021,3.743927328,5.359460295,197.8760897,6.140877557,0
ocean,23873.37821,6.181839616,341.9872341,333.0507859,10.66179894,9.028252732,4.764508265,220.6705396,7.077874007,0
ocean,21485.1532,8.187415791,280.6032867,441.3311375,14.86026268,8.983719542,5.066786272,135.8023617,5.488314309,0
ocean,24627.86756,6.202469332,289.7686966,418.4332899,13.64314709,4.170282431,3.710053126,120.3276153,7.205559175,0
ocean,20868.33122,7.726040434,320.4214322,426.9943932,10.2142746,4.149951537,3.108769988,163.2748283,9.177869866,0
lake,24405.25053,7.391510138,297.2067392,349.5189104,13.47852645,4.015929576,3.763905903,166.8377085,4.270716195,0
river,11519.04653,8.88955868,337.18913084005527,494.1584341,18.14537425,4.313687862,4.880875156,223.2649397,7.348844512,0
river,11837.12336,7.483708838,308.3985155,474.2404823,21.84591625,3.977290032,5.083014142,175.6128363,8.52616987,0
ocean,34798.25259,6.796439154,324.022876967643,468.0802666,13.17076321,3.922443918,4.76520537,188.8041257,2.612035915,0
ocean,9624.300462,7.954015627,348.4081949,344.3033625,7.935467758,4.370820958,5.525726338,254.6175187,8.858401531,0
river,27776.90105,6.443097878,347.9304004,245.859632,14.63688226,4.309786968,3.977362364,189.995846,6.098156521,0
lake,13237.9896,3.998265841,308.1426389,463.6472774,17.20956506,3.907675803,3.962478314,185.7189888,8.419970682,0
river,12710.24945,7.303126583,346.4032581,445.3741474,6.063461913,4.160881773,4.238589203,226.2847878,7.875895135,0
river,21871.8387,7.165509192,333.1333239451856,373.0501016,16.82661946,4.318635188,3.90235259,218.424637,6.745306715,0
lake,14100.96899,9.008495194,358.7247021,290.4238384,17.14990713,8.838286324,4.597165512,261.8507998,7.183825723,0
river,15331.30269,5.392651282,361.9029262,403.0418101,16.13112429,4.128925463,3.425763242,240.4321002,10.1119767,0
river,27433.58729,7.091521514,307.3970883,342.1963466,18.40384583,8.81815031,3.827650072,136.8792139,6.877456933,0
ocean,26865.37374,10.44945031,330.9142842012755,505.7093717,16.23774577,4.061094181,2.880785347,267.0596474,7.521051679,0
lake,28918.41995,7.822528491,369.2642227,432.28527,16.26629669,4.306082844,3.772886607,231.2487868,8.550875469,0
lake,27653.23518,8.912266341,369.5312064,382.9515048,6.580401551,4.103899434,3.285077052,217.2197464,10.30847766,0
ocean,24913.83717,9.616330437,362.30018,363.1685384,11.54266178,4.230050528,4.412589537,207.7168244,7.371085073,0
ocean,16600.39275,6.094000531,339.83162248226864,504.0505391,15.03504691,9.432336946,3.809841654,228.3008604,11.18069466,0
river,17087.0769,6.201982767,326.6623683,481.7719343,16.53518593,3.854515663,3.548775589,202.2859379,6.506487767,0
ocean,34971.80748,7.121477448,320.115497,500.6373262,18.31249854,4.161898937,3.244948477,155.3214775,5.03377399,0
ocean,17973.17886,4.916302562,275.9082279,439.6480512,18.38071193,4.034372815,2.612248953,155.7404952,6.912607562,0
lake,32170.06916,9.635636083,399.5831549,473.6624528,11.7283382,3.211529704,3.5521295,245.8951304,7.977635991,0
river,35957.79218,8.130472208,379.5277063,360.0604774,20.09841289,3.758078026,4.201580906,197.5019119,6.078335837,0
river,28149.41179,7.1304368,319.3067851,448.2425267,19.37009087,4.126157795,4.508705098,191.9087295,6.242414484,0
lake,14775.1456,7.484103647,305.8285533,327.2702387,12.30901596,4.249044432,3.467336915,160.7673113,6.06335479,0
lake,27834.2177,9.006007747,334.4385388,397.0214276,15.93626168,8.822946553,3.362537135,177.8989666,8.129585514,0
lake,13041.82914,5.820655208,327.118824,433.3816667,14.13906591,4.167424512,3.762719837,202.0136426,9.562405944,0
ocean,27141.3629,7.262416639,344.1611343,525.5987875,16.142284,4.208140929,4.289395484,200.9137547,8.167792632,0
lake,15791.67535,5.912690624,338.7883819490101,672.5569992,20.18405147,4.024660117,3.568991708,270.0227059,8.594416135,0
lake,25145.02412,7.923315375,338.2138034,469.4869612,15.99341035,8.935658482,4.157656628,204.2742411,7.861177701,0
river,21802.7449,6.250578031,311.598136,386.4133315,18.03523754,4.005662287,3.421766849,220.8486386,4.96577356,0
ocean,13442.60347,5.81902294,325.9065618,533.7958508,14.68753934,4.118793784,3.549298841,192.9370271,6.207432968,0
ocean,8471.677381,8.349709767,359.2685426,353.1964755,15.04708691,3.982396816,4.636556195,264.2656543,9.769251006,0
ocean,23641.70257,6.92570608,333.1483177,417.1670729,16.67018392,9.021665698,4.920091158,152.8624335,9.63066548,0
lake,20060.07873,6.913910914,334.2540614944045,368.8154286,15.14034849,9.203461473,3.203257896,104.752425,5.187471605,0
ocean,16312.15497,9.900546897,358.5662821,420.5341718,10.53939227,9.235041328,2.927066767,199.6529996,7.633570088,0
river,24909.44401,6.53126127,297.0093194,313.7019343,11.704789,8.924637933,4.688959065,155.0508931,5.77119905,0
river,17657.08418,4.506293474,290.2898943,254.3932756,9.847655276,4.314145419,4.575931872,197.2269809,6.579969329,0
river,13556.7344,8.977286381,322.062447,587.3950117,12.40136807,4.143582031,4.418638132,180.7728708,4.801154368,0
lake,19129.45837,5.851964962,335.2426585313182,434.6554586,8.663293701,4.22396892,3.692250861,238.2364097,7.948815718,0
lake,19991.23915,7.302351651,340.1060278,356.4591369,9.614106025,4.129110554,2.124759352,216.7852908,6.906992172,0
ocean,21667.86874,6.313181872,340.2731714,472.2589937,14.39986002,3.626419781,3.720636904,233.9478637,7.726134808,0
river,22821.25438,8.549738274,367.9755579,380.1972,10.85928728,4.341947435,4.601860959,241.875105,8.927078148,0
river,17358.79637,8.214938853,328.282029,481.1956735,14.27409228,4.154470223,4.334615732,153.2211063,6.20801554,0
ocean,9615.83271,7.62791913,277.9517037,415.0087369,16.43584291,3.945340303,4.633823862,141.4924095,6.128425635,0
ocean,14600.53952,8.105802882,384.5648525,415.6072778,16.7616247,4.247598082,3.696119712,274.7049505,7.308048848,0
ocean,26473.71324,6.967094562,352.3065857,309.9832868,17.66508338,4.243696941,5.263101572,201.5687241,8.640886409,0
ocean,10280.9295,5.828357794,267.6368856,487.9083272,11.94347658,9.035285084,2.905788134,127.1448918,8.153210075,0
ocean,35216.38597,6.440999766,347.0622407,399.4836212,16.06566794,8.787774808,3.954715283,206.1604149,8.29372011,0
lake,15513.74038,4.735332224,339.0836319774929,277.9700697,16.69821637,8.823830329,4.219967522,234.0699652,9.489972878,0
lake,7695.063935,4.845205476,292.5158245,507.4454883,15.52665845,8.908915648,4.588784657,190.7990441,7.830976343,0
ocean,28862.25717,8.961372377,298.3794584,434.7812671,17.29929446,4.15954694,4.384565156,139.6857588,4.430281212,0
ocean,23783.09956,7.75128544,340.9836834,579.2203941,13.4863791,4.153403025,3.556297467,201.1868045,7.240739639,0
ocean,24112.15347,5.529942236,297.6555749,484.1229389,11.482687,4.194256465,3.82359504,174.1849764,6.867301322,0
river,29136.81462,7.685775096,345.7516385,475.3413507,12.32123216,3.978514939,4.850433708,181.8734217,6.511618075,0
ocean,37625.75268,8.879822934,380.576472,580.8977004,12.29380305,4.030872484,2.880721846,232.36858,5.323815584,0
lake,11067.18115,7.121263609,305.7949503,289.5424601,18.54590296,4.143159667,5.22054027,168.9370725,6.769572869,0
lake,13652.2932,5.701659125,279.7824004,538.4954044,12.03404227,4.232761514,4.032259504,141.6152867,5.87797404,0
lake,27088.47646,7.897856522,326.7878019230698,512.2773101,16.91214158,4.296819485,3.67043101,284.0983515,8.66159243,0
river,16462.46009,6.501596205,299.6446114,272.4405583,13.79526446,8.973281909,5.198985504,146.5902323,5.653506135,0
lake,25839.8941,7.658746878,312.2470431,327.2480786,19.40914656,8.926869961,4.194313129,112.2994855,6.626012184,0
lake,18344.68036,7.567676884,338.2295973,371.216973,9.039042454,4.347539692,4.172935335,176.8664829,7.793833573,0
ocean,18371.0572,6.297542536,338.29342052182074,387.6295723,16.57598077,3.967097157,3.377337638,261.5661726,7.59312765,0
ocean,16268.44861,5.317019275,316.9186485,419.2584481,16.02424609,4.184777927,4.408513182,185.692181,7.362736502,0
river,16002.13832,4.405034532,271.6705616,499.8441671,13.0768589,8.85776278,4.205809732,129.8238585,9.320305445,0
river,23590.93213,7.683742221,351.5554822,427.4959312,20.39378167,3.67895378,2.718397734,248.8592673,3.719791644,0
lake,20571.84571,8.984236816,333.7104119658059,336.8314548,17.74599613,4.286400597,2.951644715,216.4411715,6.655605026,0
ocean,15326.85591,3.35159782,297.0841735,424.2928308,19.18844138,4.263672541,3.355489791,214.1662353,9.868877881,0
lake,35370.73552,7.98964067,317.98956676983545,469.4130904,13.28155615,4.356615435,4.726845017,229.1921395,5.590614436,0
ocean,31344.46039,7.761431064,327.0232364841058,306.872526,13.97480047,8.960877076,2.095914087,229.1228286,5.554436511,0
ocean,16324.1152,5.293918607,315.1861206,327.786642,13.32598708,3.702640555,5.428674072,230.4493293,5.970035657,0
lake,12975.90033,6.600853064,315.9011216,493.4654399,12.98710649,8.955341934,3.629749331,183.5003784,8.369154354,0
river,12206.68121,7.910711202,336.91974327479755,395.2610634,13.24613956,4.093139273,3.377132289,190.0176486,6.284248242,0
ocean,6040.369868,7.20541412,349.005267945963,316.5358711,11.76830935,3.278097748,4.153347001,161.8963622,11.26782838,0
lake,13990.5134,4.24970162,340.70175440818525,399.4773578,15.36588356,8.883493887,3.681324244,163.0388346,9.298018008,0
river,34440.77343,6.95828321,390.1042229,425.627814,13.74926131,4.054144099,3.70085384,269.809407,7.947485786,0
river,14962.17783,7.428313128,336.9729496,517.5128415,18.85851888,4.195146477,4.182277582,224.2663577,10.02615916,0
ocean,34864.42789,8.951692285,385.5056354,324.5098409,12.6965448,9.172236901,4.592073571,225.4819088,6.48819324,0
ocean,22244.21824,6.59776434,352.563987,465.6164808,14.83810023,4.367201497,4.689315048,207.7254552,5.869736755,0
river,25299.51156,6.28604311,300.5006892,497.7903905,15.01303033,4.128995768,4.165723664,160.9683582,5.30414266,0
ocean,11642.72754,5.890684294,344.1384183550081,363.5063443,10.7401459,3.923443706,3.462763987,186.9182451,7.533614823,0
lake,18194.95414,7.923973951,336.23538139927837,288.3651931,13.30669203,3.606164919,2.758658531,207.8380479,4.077607725,0
river,24846.14187,8.372997049,331.9681117873221,543.3917436,17.91652637,8.898876779,5.303581361,213.444685,6.271012171,0
ocean,17162.39842,7.841541553,397.4319622,514.421722,14.5297793,4.12000742,3.450745892,276.7335689,7.957768344,0
lake,28487.7086,5.31873198,351.9607232,474.772519,14.68397047,3.981154588,4.006991559,228.9215872,8.875642278,0
lake,25648.5695,7.222971557,295.2368921,374.7703158,14.03826326,4.321470172,3.539771111,141.1289215,6.613709118,0
lake,16723.97724,7.675826174,282.5398923,595.3292635,18.75613937,4.159551284,2.148611536,137.3181658,7.735705022,0
ocean,10704.60318,6.110019418,351.5974227,405.9001841,13.55036657,4.102026133,4.703803489,238.7133934,9.925041328,0
lake,19523.12486,7.244753274,330.3615123,366.4917287,15.68940449,4.037728346,4.904837415,202.9907653,9.00258311,0
lake,26307.29845,10.2198041,380.2014982,513.8775793,18.27241832,4.133968831,4.35219347,273.4084481,5.095766465,0
river,23220.12061,6.394463065,383.9625918,588.8527329,13.579996,8.936216798,4.754072499,263.7645927,8.594677108,0
river,12105.72193,5.396716118,296.2388769,469.8356255,15.83176344,4.139988434,3.778606788,180.7013755,7.682872498,0
ocean,25008.53225,4.948814509,298.576676,429.544773,17.72972404,4.049132538,3.268324836,178.9562058,4.443238899,0
lake,23114.44608,6.500825402,323.1557769,470.0787053,16.08284748,4.204628689,4.766943236,183.2427962,6.978664262,0
ocean,17167.3013,6.049600899,311.7262883,410.2432475,15.91450007,4.189976341,2.915165951,203.0301413,6.623613566,0
lake,28102.75663,5.682035302,330.0235306,291.1484489,17.47063098,4.332071937,3.316157657,201.0973162,3.664710562,0
lake,17650.40505,8.121080147,350.4879387,414.030709,10.99941608,3.879554892,5.190851805,205.2140411,4.814135621,0
lake,24160.35432,9.458128324,329.8983430156002,428.5532485,16.02250323,4.187724143,4.656377233,199.5860803,5.779673705,0
river,12626.19792,7.380882984,336.75539352866224,439.624998,9.348252155,8.865516533,3.724089564,177.5781419,6.937818783,0
river,28544.61629,6.500052537,339.0238982,522.79373,17.11527603,4.194359977,3.727663719,208.094004,7.436782609,0
ocean,22833.19204,5.922450614,378.5603036,411.2950246,16.58457144,4.215505612,3.917586695,252.274895,4.723312573,0
river,15156.78983,4.271544671,333.3344693,503.1706154,11.28641004,9.210660408,4.034349047,265.0612161,9.380658051,0
lake,20418.88993,7.214895724,325.2288808,351.1860809,16.80039961,4.241117814,4.033773709,187.3150477,7.810144933,0
ocean,20724.93036,7.700100188,336.248576672746,469.7613277,14.21576467,4.205855794,4.41111744,143.7884118,9.436637164,0
river,27948.58945,6.156110794,355.4730347,347.9830783,16.34071505,3.499783779,3.097277957,216.7621587,9.406325753,0
river,8532.139517,5.987876584,286.4892804,491.7653132,10.54688624,4.324169848,4.501457204,207.2577096,6.321259315,0
lake,19555.76505,6.76729799,334.78979339019395,370.1781664,9.182833652,9.105657651,3.437450134,103.173587,4.705356496,0
ocean,18536.69865,8.757133179,342.5480142,385.1146477,13.88883433,4.385799953,5.162729749,231.2601313,6.755145902,0
lake,13168.52916,9.444471086,310.5833739,592.659021,8.606396747,4.364084884,3.875165247,145.8054024,9.445129838,1
river,19859.67648,8.016422649,300.150377,451.143481,14.77086294,4.314524067,3.985250506,128.0966912,9.024845037,1
lake,20401.10246,7.681806287,287.0856791,315.5499,14.53351004,4.322881755,3.939895657,203.4089346,7.174135163,1
river,14245.78912,6.289064859,373.1653628,416.6241889,10.46423858,8.92842874,2.437296288,236.9608892,7.657991237,1
river,28049.64628,8.827061283,297.8130845,358.7258688,18.70927337,4.12570466,4.052135728,207.2524622,8.322986672,1
lake,23249.65383,4.602849948,330.86577919540804,277.3845373,11.36686342,4.213962116,5.217895024,223.8581252,5.934279093,1
ocean,27357.45674,9.218150393,323.1990765,512.4287308,14.16893351,4.10189002,2.764633881,98.77164353,9.802720782,1
ocean,15976.92623,8.857160044,308.4826954,417.8435527,13.1472795,4.151128745,3.53559633,215.2680896,6.101955231,1
lake,26849.19474,6.130756542,374.2329606,297.61154,15.57157096,4.270540096,3.404632906,280.0824107,4.997770601,1
river,16392.13507,7.461170474,278.7422964,481.4808283,15.5172963,4.365558954,4.375223811,217.6870932,4.815766791,1
ocean,25508.38695,6.749377795,366.871502,497.3217528,16.56316651,4.386064452,3.611860372,278.5851052,6.548020558,1
lake,29879.06015,6.998961533,360.668259,359.5690815,14.82874304,8.881919332,3.368757217,212.6914573,7.788054733,1
lake,14866.10386,7.238691301,323.1092851,388.7165795,17.78000011,8.873631023,3.859800939,211.0941848,5.191834327,1
river,14442.41888,5.210368684,336.04387132564534,346.5532064,11.36870244,3.78861577,1.943318777,230.8579828,5.626339528,1
ocean,21728.8213,8.803174745,279.7768565,539.4668769,12.99414,4.050213417,4.726702454,251.2934475,6.869638941,1
ocean,15737.46894,7.251978855,343.233977,463.389256,17.85447002,8.865800429,3.65213447,155.3575571,9.058628424,1
river,22644.76635,7.886854527,293.3098537,373.3456926,17.41168255,4.056976436,5.062297798,175.2203765,7.275908774,1
ocean,35804.29261,8.066059052,320.1021726,468.5628288,16.16409127,4.278701001,3.762741072,175.8702941,7.207886781,1
lake,29846.71906,5.443386888,350.401849,353.0303803,18.95953438,3.446460575,3.485577388,169.4689273,7.082300649,1
river,28897.49153,6.048524614,330.38095620506573,360.1791773,12.24734356,4.221780871,5.091357101,224.7879362,5.33418358,1
ocean,25999.95367,8.477393872,318.4272408,392.7040818,12.71635014,3.974940947,4.661798516,81.71089527,10.7618978,1
river,13777.37619,7.483257698,328.6806496,563.4347751,16.46083688,4.311022637,4.104863275,258.3000516,6.286806948,1
river,20682.73174,9.390842593,291.9800835,427.1239484,11.85322809,4.378413483,2.945418738,129.8709584,9.794558699,1
ocean,7751.809491,0.530351295,347.51851545410216,341.2911163,12.99059199,4.112674995,3.734001387,243.8079497,3.882631081,1
river,15949.15318,7.500573233,335.4535935278948,372.5352428,17.89572372,4.362561983,3.833159746,216.0428111,5.671773833,1
river,34006.42073,8.691206175,274.9043512,477.1639068,14.36963009,4.371636122,4.687986155,198.8069397,6.552847474,1
river,17862.369,4.554573627,377.2411613,608.8468563,10.80631311,8.878284,3.258858945,268.7208812,4.79084054,1
ocean,20008.13496,8.767875035,275.7673211,475.9091299,12.6146689,4.21380003,3.424701921,211.2170343,8.291299006,1
river,12883.7265,4.739360117,336.65450420593277,389.4059776,14.5601358,4.349733478,3.466645288,225.6834218,6.193170101,1
ocean,15618.17025,6.157490739,372.9274557,390.6572261,15.03031511,4.160843925,4.927218272,121.4414415,9.032660579,1
ocean,8081.466471,6.250808074,347.23213764100984,416.2388206,12.77701399,9.346353296,3.260906853,236.6740259,6.139493741,1
river,25840.57889,7.487823264,312.9827267,323.2989152,16.40615622,4.250744275,3.418610803,178.3723523,7.12942473,1
ocean,35902.71568,4.357087861,323.06341381793084,454.5202956,6.37407026,9.295942144,4.506539591,187.7768087,5.418503763,1
ocean,29483.60185,10.49384092,298.7372193,321.7483389,9.751086325,4.300469761,3.682919645,195.8049958,8.075494508,1
ocean,11557.03204,8.550572663,323.508072,442.7680497,13.37614863,9.068984001,5.133477823,132.8328367,10.04967372,1
river,16953.89874,8.774306102,293.5742499,554.1205362,14.25464074,4.015241872,3.633213756,229.9283665,5.667650647,1
lake,27919.77067,12.36328483,325.9047189516103,415.6294838,11.94991382,4.252983435,4.15558319,135.9384675,8.923980608,1
lake,15596.47333,6.153472447,338.9957448510764,466.0443992,18.0153855,8.958389059,4.184783372,225.6130938,6.428866313,1
lake,11348.676,4.297889825,343.5081755202785,468.5913885,10.49058864,9.014810309,4.978820188,201.7154525,6.960603502,1
lake,19216.68309,9.212778722,335.1499998023198,420.2912301,11.11927378,4.193126756,5.412090885,203.3299282,5.873675846,1
ocean,15300.83867,7.486598424,316.9569345,498.665928,19.60042881,4.032488887,5.163088154,187.7830201,6.79546901,1
river,16266.43445,7.939074358,363.8668902,557.4860613,13.19534068,4.333797343,3.807562606,113.8311122,10.04102797,1
ocean,36043.70664,5.19621276,377.1906657,385.6143207,17.05271326,9.013428245,4.168526118,235.7351929,7.296037734,1
river,11567.88784,9.889949955,337.16999678244065,510.4144025,10.65093547,3.737498385,4.471842,200.493112,8.062805643,1
ocean,23318.18798,9.08403988,324.8516587,294.6365314,17.18676578,4.298215262,3.532958335,157.1815455,7.82197094,1
river,39227.61946,8.517986143,337.5012466,410.8561139,14.32688885,3.991227078,3.309580397,77.4595861,11.301794,1
lake,25589.61059,9.785695834,328.3800455720408,489.7034439,14.38960913,3.859971142,2.346578095,233.5141325,6.593764313,1
ocean,26618.05964,6.105573329,343.289234,379.7251816,10.89992641,4.017836662,4.888061137,119.8419046,9.161088613,1
lake,16115.92986,7.707342333,338.4439267215402,439.9444081,18.44079003,4.113261867,3.982867293,307.7060241,4.642953052,1
ocean,11245.73577,7.212253931,329.3383664,369.5555133,15.64005334,3.954130785,2.285987849,256.20883,5.564342491,1
ocean,38852.02964,11.17078862,281.7007768,326.1153502,10.38517245,4.184527997,4.589983508,213.0525907,7.886591227,1
lake,13551.95334,4.313264846,341.1676363020917,430.4872957,19.39632945,4.291494323,2.664832796,193.1247989,7.443189014,1
river,23736.81626,9.100772079,332.4027008705195,426.2311291,17.98595656,4.037684135,3.31462973,275.7671418,3.657123133,1
river,29957.19122,7.675187646,321.2508981,378.0855456,13.12769368,4.29167789,3.990437572,212.7644944,6.964225943,1
