,Origin,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Hardness,ph,Survivability
95,2.0,26687.87448,7.587196418,329.2318529,548.0727613,15.83633021,3.743927328,5.359460295,197.8760897,6.1,0
96,2.0,23873.37821,6.181839616,341.9872341,333.0507859,10.66179894,9.028252732,4.764508265,220.6705396,7.1,0
97,2.0,21485.1532,8.187415791,280.6032867,441.3311375,14.86026268,8.983719542,5.066786272,135.8023617,5.5,0
98,2.0,24627.86756,6.202469332,289.7686966,418.4332899,13.64314709,4.170282431,3.710053126,120.3276153,7.2,0
99,2.0,20868.33122,7.726040434,320.4214322,426.9943932,10.2142746,4.149951537,3.108769988,163.2748283,9.2,0
100,1.0,24405.25053,7.391510138,297.2067392,349.5189104,13.47852645,4.015929576,3.763905903,166.8377085,4.3,0
102,0.0,11837.12336,7.483708838,308.3985155,474.2404823,21.84591625,3.977290032,5.083014142,175.6128363,8.5,0
107,2.0,9624.300462,7.954015627,348.4081949,344.3033625,7.935467758,4.370820958,5.525726338,254.6175187,8.9,0
108,0.0,27776.90105,6.443097878,347.9304004,245.859632,14.63688226,4.309786968,3.977362364,189.995846,6.1,0
109,1.0,13237.9896,3.998265841,308.1426389,463.6472774,17.20956506,3.907675803,3.962478314,185.7189888,8.4,0
111,0.0,12710.24945,7.303126583,346.4032581,445.3741474,6.063461913,4.160881773,4.238589203,226.2847878,7.9,0
112,1.0,36477.73811,8.386761008,426.5435898,339.4113267,17.48584425,4.118775102,3.724836704,252.2654912,7.7,0
116,1.0,14100.96899,9.008495194,358.7247021,290.4238384,17.14990713,8.838286324,4.597165512,261.8507998,7.2,0
117,0.0,15331.30269,5.392651282,361.9029262,403.0418101,16.13112429,4.128925463,3.425763242,240.4321002,10.1,0
120,0.0,27433.58729,7.091521514,307.3970883,342.1963466,18.40384583,8.81815031,3.827650072,136.8792139,6.9,0
124,1.0,28918.41995,7.822528491,369.2642227,432.28527,16.26629669,4.306082844,3.772886607,231.2487868,8.6,0
125,1.0,27653.23518,8.912266341,369.5312064,382.9515048,6.580401551,4.103899434,3.285077052,217.2197464,10.3,0
127,2.0,24913.83717,9.616330437,362.30018,363.1685384,11.54266178,4.230050528,4.412589537,207.7168244,7.4,0
129,0.0,17087.0769,6.201982767,326.6623683,481.7719343,16.53518593,3.854515663,3.548775589,202.2859379,6.5,0
130,1.0,10909.19459,3.749625148,240.9367221,437.9090052,15.26474235,4.17752026,3.812952926,151.8896001,6.6,0
131,2.0,34971.80748,7.121477448,320.115497,500.6373262,18.31249854,4.161898937,3.244948477,155.3214775,5.0,0
132,2.0,17973.17886,4.916302562,275.9082279,439.6480512,18.38071193,4.034372815,2.612248953,155.7404952,6.9,0
133,1.0,32170.06916,9.635636083,399.5831549,473.6624528,11.7283382,3.211529704,3.5521295,245.8951304,8.0,0
134,0.0,35957.79218,8.130472208,379.5277063,360.0604774,20.09841289,3.758078026,4.201580906,197.5019119,6.1,0
135,0.0,28149.41179,7.1304368,319.3067851,448.2425267,19.37009087,4.126157795,4.508705098,191.9087295,6.2,0
136,1.0,14775.1456,7.484103647,305.8285533,327.2702387,12.30901596,4.249044432,3.467336915,160.7673113,6.1,0
137,1.0,27834.2177,9.006007747,334.4385388,397.0214276,15.93626168,8.822946553,3.362537135,177.8989666,8.1,0
138,1.0,13041.82914,5.820655208,327.118824,433.3816667,14.13906591,4.167424512,3.762719837,202.0136426,9.6,0
139,2.0,27141.3629,7.262416639,344.1611343,525.5987875,16.142284,4.208140929,4.289395484,200.9137547,8.2,0
143,1.0,25145.02412,7.923315375,338.2138034,469.4869612,15.99341035,8.935658482,4.157656628,204.2742411,7.9,0
144,0.0,21802.7449,6.250578031,311.598136,386.4133315,18.03523754,4.005662287,3.421766849,220.8486386,5.0,0
145,2.0,13442.60347,5.81902294,325.9065618,533.7958508,14.68753934,4.118793784,3.549298841,192.9370271,6.2,0
147,2.0,8471.677381,8.349709767,359.2685426,353.1964755,15.04708691,3.982396816,4.636556195,264.2656543,9.8,0
148,2.0,23641.70257,6.92570608,333.1483177,417.1670729,16.67018392,9.021665698,4.920091158,152.8624335,9.6,0
150,2.0,16312.15497,9.900546897,358.5662821,420.5341718,10.53939227,9.235041328,2.927066767,199.6529996,7.6,0
151,0.0,24909.44401,6.53126127,297.0093194,313.7019343,11.704789,8.924637933,4.688959065,155.0508931,5.8,0
152,0.0,17657.08418,4.506293474,290.2898943,254.3932756,9.847655276,4.314145419,4.575931872,197.2269809,6.6,0
153,0.0,13556.7344,8.977286381,322.062447,587.3950117,12.40136807,4.143582031,4.418638132,180.7728708,4.8,0
155,1.0,19991.23915,7.302351651,340.1060278,356.4591369,9.614106025,4.129110554,2.124759352,216.7852908,6.9,0
159,2.0,21667.86874,6.313181872,340.2731714,472.2589937,14.39986002,3.626419781,3.720636904,233.9478637,7.7,0
161,0.0,22821.25438,8.549738274,367.9755579,380.1972,10.85928728,4.341947435,4.601860959,241.875105,8.9,0
162,0.0,17358.79637,8.214938853,328.282029,481.1956735,14.27409228,4.154470223,4.334615732,153.2211063,6.2,0
163,2.0,9615.83271,7.62791913,277.9517037,415.0087369,16.43584291,3.945340303,4.633823862,141.4924095,6.1,0
165,2.0,14600.53952,8.105802882,384.5648525,415.6072778,16.7616247,4.247598082,3.696119712,274.7049505,7.3,0
167,2.0,26473.71324,6.967094562,352.3065857,309.9832868,17.66508338,4.243696941,5.263101572,201.5687241,8.6,0
169,2.0,10280.9295,5.828357794,267.6368856,487.9083272,11.94347658,9.035285084,2.905788134,127.1448918,8.2,0
170,2.0,35216.38597,6.440999766,347.0622407,399.4836212,16.06566794,8.787774808,3.954715283,206.1604149,8.3,0
174,1.0,7695.063935,4.845205476,292.5158245,507.4454883,15.52665845,8.908915648,4.588784657,190.7990441,7.8,0
175,2.0,28862.25717,8.961372377,298.3794584,434.7812671,17.29929446,4.15954694,4.384565156,139.6857588,4.4,0
176,2.0,23783.09956,7.75128544,340.9836834,579.2203941,13.4863791,4.153403025,3.556297467,201.1868045,7.2,0
178,2.0,24112.15347,5.529942236,297.6555749,484.1229389,11.482687,4.194256465,3.82359504,174.1849764,6.9,0
180,2.0,27192.28056,9.220128211,424.7879959,358.7817362,15.05431287,4.057673697,3.659484625,278.056321,7.9,0
181,0.0,29136.81462,7.685775096,345.7516385,475.3413507,12.32123216,3.978514939,4.850433708,181.8734217,6.5,0
182,2.0,37625.75268,8.879822934,380.576472,580.8977004,12.29380305,4.030872484,2.880721846,232.36858,5.3,0
183,1.0,11067.18115,7.121263609,305.7949503,289.5424601,18.54590296,4.143159667,5.22054027,168.9370725,6.8,0
184,1.0,13652.2932,5.701659125,279.7824004,538.4954044,12.03404227,4.232761514,4.032259504,141.6152867,5.9,0
186,0.0,45222.50667,5.809031562,363.0057551,435.5004571,11.38593727,8.8053811,3.686001324,225.0281485,6.3,0
188,0.0,16462.46009,6.501596205,299.6446114,272.4405583,13.79526446,8.973281909,5.198985504,146.5902323,5.7,0
189,1.0,25839.8941,7.658746878,312.2470431,327.2480786,19.40914656,8.926869961,4.194313129,112.2994855,6.6,0
190,1.0,18344.68036,7.567676884,338.2295973,371.216973,9.039042454,4.347539692,4.172935335,176.8664829,7.8,0
192,2.0,16268.44861,5.317019275,316.9186485,419.2584481,16.02424609,4.184777927,4.408513182,185.692181,7.4,0
193,0.0,16002.13832,4.405034532,271.6705616,499.8441671,13.0768589,8.85776278,4.205809732,129.8238585,9.3,0
194,0.0,23590.93213,7.683742221,351.5554822,427.4959312,20.39378167,3.67895378,2.718397734,248.8592673,3.7,0
196,2.0,15326.85591,3.35159782,297.0841735,424.2928308,19.18844138,4.263672541,3.355489791,214.1662353,9.9,0
199,2.0,11215.9459,5.366011336,261.4447977,445.2414569,18.57592068,8.941760563,4.460200984,125.4748835,4.1,0
200,2.0,16324.1152,5.293918607,315.1861206,327.786642,13.32598708,3.702640555,5.428674072,230.4493293,6.0,0
202,1.0,12975.90033,6.600853064,315.9011216,493.4654399,12.98710649,8.955341934,3.629749331,183.5003784,8.4,0
206,2.0,7769.616119,7.205262042,258.3128794,407.7322172,16.42004096,4.159133327,4.2369473,154.2657803,7.9,0
207,0.0,34440.77343,6.95828321,390.1042229,425.627814,13.74926131,4.054144099,3.70085384,269.809407,7.9,0
208,0.0,14962.17783,7.428313128,336.9729496,517.5128415,18.85851888,4.195146477,4.182277582,224.2663577,10.0,0
209,2.0,34864.42789,8.951692285,385.5056354,324.5098409,12.6965448,9.172236901,4.592073571,225.4819088,6.5,0
210,2.0,22244.21824,6.59776434,352.563987,465.6164808,14.83810023,4.367201497,4.689315048,207.7254552,5.9,0
212,0.0,25299.51156,6.28604311,300.5006892,497.7903905,15.01303033,4.128995768,4.165723664,160.9683582,5.3,0
216,0.0,4304.492483,3.615890517,259.3733218,400.9043497,12.99301224,4.172882881,3.416539753,189.1453777,7.1,0
218,2.0,17162.39842,7.841541553,397.4319622,514.421722,14.5297793,4.12000742,3.450745892,276.7335689,8.0,0
219,1.0,28487.7086,5.31873198,351.9607232,474.772519,14.68397047,3.981154588,4.006991559,228.9215872,8.9,0
221,1.0,25648.5695,7.222971557,295.2368921,374.7703158,14.03826326,4.321470172,3.539771111,141.1289215,6.6,0
222,1.0,16723.97724,7.675826174,282.5398923,595.3292635,18.75613937,4.159551284,2.148611536,137.3181658,7.7,0
223,2.0,10704.60318,6.110019418,351.5974227,405.9001841,13.55036657,4.102026133,4.703803489,238.7133934,9.9,0
224,1.0,19523.12486,7.244753274,330.3615123,366.4917287,15.68940449,4.037728346,4.904837415,202.9907653,9.0,0
225,1.0,26307.29845,10.2198041,380.2014982,513.8775793,18.27241832,4.133968831,4.35219347,273.4084481,5.1,0
226,0.0,23220.12061,6.394463065,383.9625918,588.8527329,13.579996,8.936216798,4.754072499,263.7645927,8.6,0
228,0.0,12105.72193,5.396716118,296.2388769,469.8356255,15.83176344,4.139988434,3.778606788,180.7013755,7.7,0
231,2.0,25008.53225,4.948814509,298.576676,429.544773,17.72972404,4.049132538,3.268324836,178.9562058,4.4,0
232,1.0,23114.44608,6.500825402,323.1557769,470.0787053,16.08284748,4.204628689,4.766943236,183.2427962,7.0,0
233,2.0,17167.3013,6.049600899,311.7262883,410.2432475,15.91450007,4.189976341,2.915165951,203.0301413,6.6,0
234,1.0,28102.75663,5.682035302,330.0235306,291.1484489,17.47063098,4.332071937,3.316157657,201.0973162,3.7,0
235,1.0,17650.40505,8.121080147,350.4879387,414.030709,10.99941608,3.879554892,5.190851805,205.2140411,4.8,0
238,0.0,28544.61629,6.500052537,339.0238982,522.79373,17.11527603,4.194359977,3.727663719,208.094004,7.4,0
239,2.0,22833.19204,5.922450614,378.5603036,411.2950246,16.58457144,4.215505612,3.917586695,252.274895,4.7,0
240,0.0,15156.78983,4.271544671,333.3344693,503.1706154,11.28641004,9.210660408,4.034349047,265.0612161,9.4,0
241,1.0,20418.88993,7.214895724,325.2288808,351.1860809,16.80039961,4.241117814,4.033773709,187.3150477,7.8,0
243,0.0,27948.58945,6.156110794,355.4730347,347.9830783,16.34071505,3.499783779,3.097277957,216.7621587,9.4,0
244,0.0,8532.139517,5.987876584,286.4892804,491.7653132,10.54688624,4.324169848,4.501457204,207.2577096,6.3,0
248,1.0,37169.4444,8.114731015,416.0834805,351.4768394,15.12933449,4.385284154,4.201662864,272.9827447,6.6,0
249,2.0,18536.69865,8.757133179,342.5480142,385.1146477,13.88883433,4.385799953,5.162729749,231.2601313,6.8,0
250,1.0,13168.52916,9.444471086,310.5833739,592.659021,8.606396747,4.364084884,3.875165247,145.8054024,9.4,1
251,0.0,19859.67648,8.016422649,300.150377,451.143481,14.77086294,4.314524067,3.985250506,128.0966912,9.0,1
253,2.0,39143.40333,9.501694588,187.1707144,376.4565931,11.43246635,4.314514029,3.8549399,242.0080815,6.8,1
254,1.0,20401.10246,7.681806287,287.0856791,315.5499,14.53351004,4.322881755,3.939895657,203.4089346,7.2,1
255,0.0,14245.78912,6.289064859,373.1653628,416.6241889,10.46423858,8.92842874,2.437296288,236.9608892,7.7,1
256,0.0,28049.64628,8.827061283,297.8130845,358.7258688,18.70927337,4.12570466,4.052135728,207.2524622,8.3,1
258,2.0,27357.45674,9.218150393,323.1990765,512.4287308,14.16893351,4.10189002,2.764633881,98.77164353,9.8,1
259,2.0,15976.92623,8.857160044,308.4826954,417.8435527,13.1472795,4.151128745,3.53559633,215.2680896,6.1,1
260,1.0,26849.19474,6.130756542,374.2329606,297.61154,15.57157096,4.270540096,3.404632906,280.0824107,5.0,1
261,0.0,16392.13507,7.461170474,278.7422964,481.4808283,15.5172963,4.365558954,4.375223811,217.6870932,4.8,1
262,2.0,25508.38695,6.749377795,366.871502,497.3217528,16.56316651,4.386064452,3.611860372,278.5851052,6.5,1
264,2.0,19598.86074,4.701049346,432.556385,401.6697906,11.76614643,4.306655256,4.437695749,233.6616359,6.6,1
265,1.0,29879.06015,6.998961533,360.668259,359.5690815,14.82874304,8.881919332,3.368757217,212.6914573,7.8,1
266,1.0,14866.10386,7.238691301,323.1092851,388.7165795,17.78000011,8.873631023,3.859800939,211.0941848,5.2,1
268,2.0,21728.8213,8.803174745,279.7768565,539.4668769,12.99414,4.050213417,4.726702454,251.2934475,6.9,1
269,2.0,15737.46894,7.251978855,343.233977,463.389256,17.85447002,8.865800429,3.65213447,155.3575571,9.1,1
270,1.0,27784.04848,9.754475933,247.3354119,439.6493286,17.28504169,4.103573998,5.328712788,127.5442971,7.3,1
271,0.0,22644.76635,7.886854527,293.3098537,373.3456926,17.41168255,4.056976436,5.062297798,175.2203765,7.3,1
272,1.0,22475.04687,12.58002649,192.0335917,479.5012786,9.983462392,4.214621909,4.612963629,229.263861,6.5,1
273,2.0,35804.29261,8.066059052,320.1021726,468.5628288,16.16409127,4.278701001,3.762741072,175.8702941,7.2,1
275,1.0,35344.65805,13.04380611,180.2067464,392.4214958,10.50481955,4.026862475,4.427137926,280.0896549,5.3,1
276,1.0,29846.71906,5.443386888,350.401849,353.0303803,18.95953438,3.446460575,3.485577388,169.4689273,7.1,1
278,2.0,25999.95367,8.477393872,318.4272408,392.7040818,12.71635014,3.974940947,4.661798516,81.71089527,10.8,1
279,0.0,13777.37619,7.483257698,328.6806496,563.4347751,16.46083688,4.311022637,4.104863275,258.3000516,6.3,1
280,0.0,20682.73174,9.390842593,291.9800835,427.1239484,11.85322809,4.378413483,2.945418738,129.8709584,9.8,1
281,2.0,13933.08536,10.42284178,243.4859418,391.0688736,13.74705768,4.12807282,4.97605516,167.1021915,8.2,1
283,1.0,48621.56395,9.158703903,327.922751,365.7202915,17.97556384,4.361311734,4.201849441,136.3237517,10.4,1
284,1.0,23625.81389,9.537735147,259.9799662,327.623881,16.11711046,9.378177685,4.698007916,171.4836247,8.0,1
288,0.0,34006.42073,8.691206175,274.9043512,477.1639068,14.36963009,4.371636122,4.687986155,198.8069397,6.6,1
289,1.0,26244.03691,8.337610434,255.0431936,495.9669861,13.63397438,4.198777266,4.182057148,156.7936942,7.6,1
290,0.0,17862.369,4.554573627,377.2411613,608.8468563,10.80631311,8.878284,3.258858945,268.7208812,4.8,1
292,2.0,20008.13496,8.767875035,275.7673211,475.9091299,12.6146689,4.21380003,3.424701921,211.2170343,8.3,1
294,2.0,15618.17025,6.157490739,372.9274557,390.6572261,15.03031511,4.160843925,4.927218272,121.4414415,9.0,1
296,0.0,25840.57889,7.487823264,312.9827267,323.2989152,16.40615622,4.250744275,3.418610803,178.3723523,7.1,1
299,2.0,29483.60185,10.49384092,298.7372193,321.7483389,9.751086325,4.300469761,3.682919645,195.8049958,8.1,1
301,2.0,11557.03204,8.550572663,323.508072,442.7680497,13.37614863,9.068984001,5.133477823,132.8328367,10.0,1
302,0.0,16953.89874,8.774306102,293.5742499,554.1205362,14.25464074,4.015241872,3.633213756,229.9283665,5.7,1
308,2.0,15300.83867,7.486598424,316.9569345,498.665928,19.60042881,4.032488887,5.163088154,187.7830201,6.8,1
309,0.0,16266.43445,7.939074358,363.8668902,557.4860613,13.19534068,4.333797343,3.807562606,113.8311122,10.0,1
311,2.0,36043.70664,5.19621276,377.1906657,385.6143207,17.05271326,9.013428245,4.168526118,235.7351929,7.3,1
313,2.0,44069.27216,4.382721317,412.6901114,331.5701387,15.30607892,4.104390798,5.50742094,185.0652199,5.9,1
314,1.0,33991.65157,9.511792392,259.1649652,435.1080173,16.29361407,8.830199878,4.466912564,174.480427,7.3,1
316,2.0,23318.18798,9.08403988,324.8516587,294.6365314,17.18676578,4.298215262,3.532958335,157.1815455,7.8,1
317,0.0,39227.61946,8.517986143,337.5012466,410.8561139,14.32688885,3.991227078,3.309580397,77.4595861,11.3,1
319,2.0,26618.05964,6.105573329,343.289234,379.7251816,10.89992641,4.017836662,4.888061137,119.8419046,9.2,1
322,2.0,32704.56929,11.07887248,258.1911841,507.1786883,18.27243924,8.912822008,4.107267203,188.3949423,7.8,1
323,2.0,11245.73577,7.212253931,329.3383664,369.5555133,15.64005334,3.954130785,2.285987849,256.20883,5.6,1
324,2.0,38852.02964,11.17078862,281.7007768,326.1153502,10.38517245,4.184527997,4.589983508,213.0525907,7.9,1
328,0.0,29957.19122,7.675187646,321.2508981,378.0855456,13.12769368,4.29167789,3.990437572,212.7644944,7.0,1
329,0.0,22989.35118,6.231913253,343.4390173,401.1408786,14.25268374,4.178858671,4.268227482,152.8783051,7.7,1
332,2.0,18189.39498,5.551990468,397.700065,551.4762022,12.81872967,8.783456619,4.173330283,240.0182139,5.4,1
333,1.0,15978.35525,10.95620546,262.0645514,412.7094234,5.315286537,4.344123433,4.971907099,264.5256065,7.0,1
335,0.0,25510.0973,6.614114031,385.4026595,388.467266,11.88716125,4.252401584,3.736228471,94.09130748,10.0,1
338,2.0,21082.85204,8.369354098,347.8165145,469.795375,13.49640431,4.111625494,4.178478951,254.672705,5.5,1
339,2.0,19116.01208,8.493406749,289.9599529,440.2834456,13.33676961,8.794895159,3.630536578,161.6231416,7.5,1
340,0.0,12837.50606,5.164448055,373.9917105,558.8155667,12.25408076,4.259466413,4.396604556,159.1880501,6.8,1
342,2.0,15244.84639,6.636550649,363.3846827,695.369528,13.13835315,9.017340833,3.660922908,282.739017,5.9,1
345,0.0,38787.46271,5.149999932,444.970552,492.4115244,12.90422086,3.901598401,4.197919055,173.1114983,9.6,1
346,0.0,19672.48721,4.955218159,414.6367262,330.067379,11.29318661,4.272010014,4.163328982,278.1475241,4.3,1
348,1.0,18203.73003,8.926826327,309.5419774,498.6508327,12.28782443,3.970834051,3.776040837,157.7004811,8.5,1
349,0.0,21366.2836,7.490944014,315.1804054,497.0192345,11.41701861,3.85467347,3.756391707,174.1205843,8.1,1
350,2.0,15797.0304,8.151080662,333.8122638,425.7520176,12.18263888,9.465767201,4.525236731,186.672973,9.2,1
351,1.0,32033.33202,13.127,182.3973702,479.7919747,12.07044433,4.365278889,4.014681858,188.9199829,8.8,1
352,1.0,18088.35485,7.527375309,388.7686566,409.4509977,12.39770353,4.164479018,4.168541279,185.8785944,9.5,1
353,0.0,9025.07936,7.217787958,338.3969097,328.4331103,9.142523494,3.778565103,3.634844542,198.9944743,8.1,1
355,0.0,11965.39651,7.571122584,365.4536552,502.9910878,13.86648723,9.166219524,3.731936503,188.9802815,6.4,1
358,2.0,30914.11158,6.207729478,371.6493915,356.8622871,8.073420571,4.361672616,3.937188442,225.6574044,5.1,1
359,1.0,12088.41645,4.870660378,407.2965498,518.3755726,17.12096224,4.055448216,4.262065437,218.2611698,7.5,1
361,1.0,17941.81126,6.2753046,376.0461562,402.593602,12.43973968,3.416691004,3.39586624,140.6128657,7.1,1
362,0.0,21979.03167,5.630557592,363.8317057,349.1860855,9.55173234,4.240043215,4.545340927,190.8445136,6.9,1
363,2.0,11465.57564,4.362641198,398.1619036,607.0265423,18.2100315,4.151220474,3.0209959,250.1839535,4.8,1
365,0.0,28174.62052,10.85003648,187.4241309,444.8543208,11.78479884,8.999863195,2.896852186,234.8937026,4.8,1
370,0.0,28334.49194,8.012496989,293.9242728,351.1612132,15.01924062,3.588469502,5.050683115,226.8300426,5.6,1
371,1.0,17350.05853,4.466577191,404.6099821,406.8063023,11.53998664,3.895352001,4.177139266,194.796221,6.0,1
372,1.0,36278.71831,9.960552065,275.5917457,307.6913606,18.19693095,9.0991933,2.653126688,180.9656209,6.3,1
375,0.0,29983.11601,7.383818681,329.7315466,604.6312629,17.74122824,4.191425531,4.840562301,224.6085628,6.0,1
376,0.0,18894.85239,10.06820537,269.6466556,446.4507253,11.85691442,8.848387527,3.179884727,163.6246234,10.3,1
378,1.0,45249.44903,7.369360303,338.7713073,314.9650897,11.25177781,8.991993205,3.103089844,249.141391,6.1,1
379,2.0,20438.22469,8.024953111,315.8056588,458.6772315,12.53868069,3.948402578,3.486646409,73.49223369,9.4,1
380,0.0,29189.13672,10.51446604,253.8305522,386.6228625,11.31229362,4.232891023,4.564188355,223.603058,6.9,1
381,2.0,25151.41157,4.613310783,375.612318,296.074382,15.08869952,4.318499942,4.404040365,169.2174798,6.5,1
384,1.0,13623.16006,7.235921759,385.0591343,369.5912891,12.32260382,4.241410945,2.568079877,166.948864,9.7,1
385,0.0,20143.06526,10.23617597,209.4710584,517.9357855,18.46401541,3.919421939,3.672975983,185.6718736,5.5,1
388,0.0,13979.16572,9.077984756,314.5904772,473.7513016,17.41690264,8.885885637,3.622195522,240.244771,6.4,1
390,2.0,31429.37903,7.55502971,350.3970819,393.8896156,10.24723219,8.855001469,2.31815248,181.4134021,8.5,1
